"","pam.res.clustering"
"1",1
"2",2
"3",2
"4",2
"5",2
"6",2
"7",1
"8",2
"9",2
"10",2
"11",2
"12",2
"13",2
"14",2
"15",2
"16",2
"17",2
"18",2
"19",2
"20",2
"21",2
"22",2
"23",2
"24",2
"25",1
"26",2
"27",1
"28",1
"29",2
"30",2
"31",2
"32",2
"33",1
"34",1
"35",2
"36",2
"37",1
"38",1
"39",2
"40",1
"41",2
"42",2
"43",2
"44",2
"45",2
"46",2
"47",1
"48",2
"49",2
"50",1
"51",2
"52",2
"53",2
"54",2
"55",2
"56",2
"57",1
"58",2
"59",2
"60",2
"61",2
"62",2
"63",2
"64",2
"65",2
"66",2
"67",2
"68",2
"69",2
"70",2
"71",2
"72",2
"73",2
"74",2
"75",2
"76",2
"77",2
"78",2
"79",2
"80",2
"81",2
"82",2
"83",2
"84",2
"85",2
"86",2
"87",2
"88",2
"89",2
"90",2
"91",2
"92",2
"93",2
"94",2
"95",2
"96",2
"97",2
"98",1
"99",2
"100",1
"101",2
"102",2
"103",2
"104",2
"105",2
"106",2
"107",2
"108",2
"109",2
"110",2
"111",2
"112",2
"113",1
"114",2
"115",2
"116",2
"117",2
"118",2
"119",2
"120",2
"121",2
"122",2
"123",2
"124",2
"125",2
"126",2
"127",2
"128",2
"129",2
"130",2
"131",2
"132",2
"133",2
"134",2
"135",2
"136",2
"137",2
"138",2
"139",2
"140",2
"141",2
"142",2
"143",2
"144",2
"145",2
"146",2
"147",2
"148",2
"149",2
"150",2
"151",2
"152",2
"153",2
"154",2
"155",2
"156",2
"157",2
"158",2
"159",2
"160",2
"161",2
"162",2
"163",2
"164",2
"165",2
"166",2
"167",1
"168",2
"169",1
"170",2
"171",2
"172",1
"173",2
"174",1
"175",2
"176",2
"177",2
"178",2
"179",2
"180",2
"181",2
"182",2
"183",2
"184",2
"185",2
"186",2
"187",2
"188",2
"189",2
"190",1
"191",2
"192",2
"193",2
"194",2
"195",2
"196",2
"197",2
"198",2
"199",2
"200",2
"201",1
"202",2
"203",2
"204",2
"205",2
"206",2
"207",2
"208",2
"209",2
"210",2
"211",2
"212",2
"213",2
"214",2
"215",2
"216",2
"217",2
"218",2
"219",2
"220",2
"221",2
"222",2
"223",2
"224",2
"225",2
"226",1
"227",2
"228",1
"229",2
"230",2
"231",2
"232",2
"233",1
"234",2
"235",2
"236",2
"237",2
"238",2
"239",1
"240",2
"241",2
"242",2
"243",1
"244",2
"245",1
"246",2
"247",2
"248",2
"249",2
"250",2
"251",2
"252",1
"253",2
"254",1
"255",2
"256",1
"257",2
"258",2
"259",1
"260",1
"261",2
"262",2
"263",1
"264",2
"265",1
"266",1
"267",1
"268",2
"269",1
"270",2
"271",2
"272",1
"273",1
"274",1
"275",1
"276",1
"277",2
"278",1
"279",1
"280",1
"281",1
"282",1
"283",2
"284",1
"285",1
"286",1
"287",1
"288",2
"289",1
"290",1
"291",1
"292",1
"293",1
"294",1
"295",1
"296",1
"297",1
"298",1
"299",1
"300",1
"301",1
"302",1
"303",1
"304",1
"305",1
"306",1
"307",1
"308",1
"309",1
"310",1
"311",1
"312",1
"313",1
"314",1
"315",1
"316",2
"317",1
"318",2
"319",2
"320",1
"321",1
"322",1
"323",2
"324",2
"325",2
"326",1
"327",2
"328",2
"329",2
"330",2
"331",2
"332",2
"333",2
"334",2
"335",2
"336",2
"337",2
"338",2
"339",2
"340",1
"341",2
"342",2
"343",1
"344",1
"345",2
"346",1
"347",2
"348",1
"349",2
"350",1
"351",1
"352",1
"353",1
"354",2
"355",2
"356",2
"357",2
"358",1
"359",2
"360",1
"361",2
"362",2
"363",2
"364",2
"365",2
"366",2
"367",2
"368",2
"369",2
"370",2
"371",2
"372",1
"373",1
"374",2
"375",2
"376",1
"377",1
"378",1
"379",1
"380",1
"381",1
"382",2
"383",2
"384",2
"385",2
"386",1
"387",2
"388",1
"389",2
"390",2
"391",2
"392",2
"393",2
"394",2
"395",2
"396",2
"397",2
"398",2
"399",1
"400",2
"401",2
"402",1
"403",2
"404",2
"405",2
"406",2
"407",2
"408",2
"409",2
"410",1
"411",2
"412",2
"413",2
"414",2
"415",2
"416",2
"417",1
"418",1
"419",2
"420",2
"421",2
"422",2
"423",2
"424",2
"425",1
"426",2
"427",2
"428",2
"429",2
"430",1
"431",2
"432",1
"433",1
"434",1
"435",1
"436",1
"437",1
"438",1
"439",2
"440",1
"441",1
"442",1
"443",1
"444",1
"445",1
"446",2
"447",1
"448",1
"449",1
"450",1
