"","pam.res.clustering"
"481",3
"482",1
"483",1
"484",1
"485",1
"486",1
"487",1
"488",1
"489",1
"490",1
"491",1
"492",1
"493",2
"494",1
"495",1
"496",1
"497",1
"498",1
"499",1
"500",1
"501",1
"502",1
"503",1
"504",1
"505",1
"506",1
"507",1
"508",1
"509",1
"510",1
"511",1
"512",1
"513",1
"514",2
"515",1
"516",1
"517",1
"518",1
"519",1
"520",1
"521",1
"522",1
"523",1
"524",3
"525",1
"526",1
"527",1
"528",1
"529",1
"530",1
"531",1
"532",1
"533",1
"534",2
"535",1
"536",1
"537",1
"538",1
"539",1
"540",1
"541",1
"542",1
"543",1
"544",1
"545",1
"546",2
"547",1
"548",2
"549",1
"550",2
"551",1
"552",1
"553",1
"554",1
"555",1
"556",1
"557",3
"558",1
"559",3
"560",1
"561",1
"562",2
"563",1
"564",1
"565",1
"566",1
"567",2
"568",2
"569",3
"570",2
"571",2
"572",2
"573",2
"574",2
"575",2
"576",2
"577",1
"578",2
"579",2
"580",2
"581",2
"582",2
"583",2
"584",1
"585",1
"586",3
"587",1
"588",1
"589",2
"590",2
"591",2
"592",2
"593",2
"594",2
"595",2
"596",2
"597",2
"598",2
"599",1
"600",1
"601",1
"602",3
"603",2
"604",1
"605",1
"606",2
"607",2
"608",3
"609",2
"610",2
"611",2
"612",2
"613",2
"614",2
"615",2
"616",2
"617",2
"618",2
"619",2
"620",2
"621",2
"622",2
"623",2
"624",2
"625",2
"626",2
"627",2
"628",2
"629",2
"630",2
"631",2
"632",2
"633",2
"634",2
"635",2
"636",2
"637",2
"638",2
"639",2
"640",2
"641",2
"642",2
"643",1
"644",1
"645",1
"646",1
"647",1
"648",2
"649",1
"650",1
"651",1
"652",1
"653",1
"654",1
"655",1
"656",1
"657",2
"658",2
"659",2
"660",2
"661",2
"662",2
"663",2
"664",2
"665",2
"666",2
"667",2
"668",2
"669",2
"670",2
"671",2
"672",2
"673",2
"674",2
"675",2
"676",2
"677",2
"678",1
"679",2
"680",2
"681",2
"682",2
"683",2
"684",2
"685",2
"686",2
"687",2
"688",2
"689",2
"690",2
"691",2
"692",2
"693",2
"694",2
"695",2
"696",2
"697",3
"698",3
"699",2
"700",2
"701",3
"702",2
"703",2
"704",1
"705",2
"706",2
"707",2
"708",2
"709",1
"710",1
"711",1
"712",2
"713",2
"714",2
"715",2
"716",2
"717",2
"718",2
"719",2
"720",2
"721",2
"722",2
"723",2
"724",2
"725",3
"726",2
"727",1
"728",1
"729",3
"730",3
"731",3
"732",3
"733",3
"734",3
"735",1
"736",1
"737",3
"738",3
"739",1
"740",3
"741",1
"742",3
"743",3
"744",3
"745",3
"746",3
"747",1
"748",1
"749",1
"750",3
"751",3
"752",3
"753",1
"754",1
"755",1
"756",3
"757",1
"758",3
"759",1
"760",3
"761",3
"762",3
"763",1
"764",1
"765",1
"766",2
"767",1
"768",1
"769",2
"770",1
"771",1
"772",3
"773",1
"774",1
"775",1
"776",1
"777",1
"778",1
"779",1
"780",1
"781",1
"782",1
"783",1
"784",1
"785",1
"786",1
"787",1
"788",1
"789",1
"790",1
"791",1
"792",1
"793",2
"794",1
"795",2
"796",1
"797",3
"798",3
"799",2
"800",1
"801",1
"802",2
"803",2
"804",2
"805",1
"806",2
"807",2
"808",2
"809",2
"810",2
"811",2
"812",2
"813",1
"814",1
"815",3
"816",1
"817",1
"818",2
"819",1
"820",1
"821",1
"822",2
"823",1
"824",1
"825",1
"826",1
"827",2
"828",3
"829",1
"830",2
"831",2
"832",2
"833",2
"834",2
"835",2
"836",2
"837",2
"838",2
"839",2
"840",2
"841",2
"842",2
"843",1
"844",2
"845",2
"846",2
"847",2
"848",2
"849",2
"850",2
"851",2
"852",2
"853",2
"854",2
"855",2
"856",2
"857",2
"858",2
"859",2
"860",2
"861",2
"862",2
"863",2
"864",2
"865",2
"866",2
"867",2
"868",2
"869",2
"870",2
"871",2
"872",2
"873",2
"874",2
"875",3
"876",3
"877",3
"878",3
"879",3
"880",3
"881",3
"882",1
"883",3
"884",3
"885",3
"886",3
"887",1
"888",1
"889",3
"890",3
"891",1
"892",3
"893",1
"894",3
"895",1
"896",3
"897",3
"898",3
"899",1
"900",2
"901",3
"902",1
"903",3
"904",1
"905",3
"906",1
"907",1
"908",1
"909",1
"910",3
"911",1
"912",3
"913",3
"914",3
"915",2
"916",3
"917",3
"918",3
"919",3
"920",1
"921",3
"922",1
"923",1
"924",3
"925",1
"926",3
"927",3
"928",3
"929",3
"930",3
"931",1
"932",1
"933",3
"934",3
"935",3
"936",3
"937",3
"938",3
"939",1
"940",3
"941",1
"942",3
"943",3
"944",1
"945",1
"946",3
"947",1
"948",2
"949",1
"950",2
"951",2
"952",2
"953",2
"954",1
"955",1
"956",2
"957",2
"958",1
"959",2
"960",1
"961",2
"962",1
"963",2
"964",3
"965",1
"966",3
"967",1
"968",1
"969",1
"970",3
"971",3
"972",3
"973",3
"974",3
"975",3
"976",1
"977",3
"978",3
"979",3
"980",3
"981",3
"982",3
"983",1
"984",3
"985",3
"986",1
"987",1
"988",3
"989",3
"990",3
"991",3
"992",3
"993",1
"994",1
"995",1
"996",3
